CustomerID,AccountNumber,AccountType,DateAccountOpened,AccountStatus
ebf04f7f-d17f-454a-adde-9d0c186a4619,1480590785,Loan,2007-12-13,Closed
4cbdb73a-d3f2-4ed5-99f0-4ccc17033806,9702541340,Savings,2009-08-18,Suspended
227fece5-1bfc-49df-9f02-9f4f7ced1cfa,9586739807,Credit Card,2010-11-16,Suspended
a7bf59bf-da25-49b8-b426-20db80a237cd,8293118105,Credit Card,2014-05-03,Suspended
fb3c72cf-fcdd-4ddf-a2fd-ef2721b2d150,2794308990,Credit Card,2002-07-30,Suspended
5bde34d9-9803-47cc-a9ff-fa58f94081c5,4509140345,Savings,2009-12-07,Active
af2b1280-b367-4f9c-9557-4a665b0ca96c,4910679076,Loan,2000-11-09,Suspended
b48913e9-9d2a-40d7-8414-b91417e45ceb,9774562788,Checking,2018-12-04,Suspended
ccab306b-56dd-402e-a7da-751ed96983dc,2365066715,Credit Card,2002-10-13,Active
aac0893e-aad3-435c-8fe5-9c36e40cd742,6719559919,Credit Card,2013-02-06,Active
0a1038bc-7485-44f8-a9bd-87d50dc0dd8f,8733574937,Savings,2001-08-22,Active
1c87798c-0732-4c1e-8b8f-fab7b5603aa4,5270673118,Loan,2022-06-28,Closed
3ac07139-9fef-40ef-8c8b-f20c820e620d,3093932369,Credit Card,2016-03-31,Active
81298d8f-a9a7-4ec9-8407-1906e1149db1,2404517246,Savings,2018-10-12,Active
0ad90a58-b60f-4158-ac4f-d8747d1a1b78,2915287975,Savings,2001-05-15,Active
2bde00b0-e436-41ea-a25f-a0bff541aa5a,5031755623,Savings,2015-04-13,Suspended
bd2af2e3-1071-45f5-85e7-4fb14e3a5075,6902290450,Checking,2007-01-15,Active
4d59b9e0-e3ca-484c-a109-616401179dbc,4890753815,Credit Card,2010-09-07,Active
791e285e-7d40-47e4-b415-1bf06d967095,5340074181,Checking,2004-01-09,Active
6d10e928-8069-489e-8260-07675c8eb70e,4098810798,Credit Card,2010-05-21,Suspended
4802215e-9505-4ac3-9bbc-702ca6404979,5262850724,Loan,2007-10-09,Suspended
323890c5-ba99-40c1-9ed8-c455eeb5d73b,9183938464,Credit Card,2000-09-19,Suspended
d7a90f98-2bf9-43f7-a4bf-4dfda1159f1d,8698466563,Credit Card,2021-08-25,Active
cf516b22-cdf2-489c-ae0a-70a4d7eb987c,195486698,Loan,2007-11-29,Closed
0d3dcffc-adbc-4910-ac18-241af6552003,3286829315,Checking,2002-06-10,Active
9b792c5c-806c-4cc1-b589-d6aec2d54493,9881375834,Savings,2008-08-20,Active
de4acd86-7d5d-4652-a161-7c2c47d86457,3047841085,Credit Card,2008-08-28,Closed
b6bd3ad1-1e1c-4d62-8ffc-d8a0f431a92d,1155395615,Savings,2000-06-07,Closed
3cf1c74a-c3eb-4d89-8bcc-e876fa55fd91,4818561324,Savings,2017-04-20,Suspended
890978bc-88d9-4efb-b699-cd9922be7ea2,3770456034,Checking,2016-06-04,Suspended
99749270-fd1f-4e6c-b1ed-0f5cd14bed5b,8751607072,Checking,2019-12-29,Active
a5f3b01b-0d44-4ec9-91d0-87514d785ca9,2093981767,Credit Card,2006-11-13,Suspended
00b87ddd-5554-4dbd-8b00-99bd903b5b31,6738302722,Savings,2010-07-11,Active
c1dc9a33-c719-4769-8cf3-f709bc1800da,5493628321,Savings,2012-06-11,Closed
509b28d6-bb6c-4f48-bcbb-2f0d0cc7bb90,1242875721,Savings,2004-04-03,Active
2a3f29f9-aef8-4f60-886a-9225df2dc09c,823991897,Savings,2008-01-01,Suspended
c90f31b5-ab60-4acb-9ea6-266d64fc92b9,8750891929,Checking,2006-09-01,Suspended
06aa69ea-6db2-4d6d-b3d3-778494a1b659,8848851559,Savings,2021-09-09,Active
67cbb32d-497c-4b4c-9c97-b1c1f5d3a089,1594465088,Savings,2004-07-09,Closed
2e02d46d-001f-4dbb-8b67-0f4201a67836,139836624,Loan,2008-03-25,Suspended
3ce8aae5-9311-4bee-b457-c2b600a17ca9,4207304824,Checking,2005-02-15,Closed
5ec9f90b-6c41-4bce-a563-7fdcfa268e36,272877394,Credit Card,2020-02-25,Active
d5f54b12-c204-4509-8177-e680a46c7397,9545851401,Loan,2008-06-22,Active
40e147d0-127d-40d5-a04e-52e76e4386f5,1942200603,Credit Card,2018-05-16,Closed
506de350-9796-4846-ae38-53e24573bac2,1676273422,Loan,2005-12-25,Active
042f157a-2139-4ab8-8476-d25a7352c25f,9319883964,Loan,2002-03-26,Closed
4e6fd47d-fcc3-4591-a558-b409980e6efa,1774948549,Loan,2004-05-16,Active
eb97679b-0a68-450b-8834-1cfb630dd242,4380836984,Loan,2016-02-16,Active
57e1af95-62e5-439c-8944-96f56b4f50bb,2148244931,Savings,2014-03-13,Active
8d04d54c-a5e9-4e55-ad9f-412afd275de3,8433193319,Checking,2006-06-21,Active
2b45bf5b-29b9-4d10-8a1d-a9ee7a7c0e9b,6030610387,Savings,2007-07-28,Suspended
8f5bcbfd-3fe4-4607-85dc-52c950181c88,9834953055,Savings,2013-05-27,Closed
b42ac694-cfdc-4a83-83ee-2e4a245e5ee0,7578784489,Loan,2016-02-24,Closed
bf9793da-785e-43a3-ad01-84bf15859189,9285193751,Loan,2009-03-14,Active
329f5490-4d9e-4066-9a15-b9512ffb0d40,2609713689,Loan,2011-02-16,Closed
6a7445a0-ee9a-436a-a1c5-b17dd9349f95,9941980083,Checking,2003-05-20,Closed
7e318e8c-72fa-413e-8c18-4d4306226480,1578651691,Checking,2021-12-09,Active
084503dd-1644-42c0-89e7-739e3fb55eee,381828959,Checking,2011-01-28,Suspended
a6798c63-2388-46e0-9b45-bbbc3fb3d5cf,3938024152,Loan,2002-11-20,Closed
310cb2ed-0563-4bb7-971b-c04992cf3526,3405367976,Loan,2014-11-11,Suspended
